Abstract,Intervention Area
"Abstract This fact sheet addresses cybersecurity for distributed energy resources (DERs) and identifies best practices in cybersecurity governance, technical management of cyber-physical systems, and physical security.",AreaCybersecurity CybersecurityInterventions that
"Abstract Maritime cybersecurity is developing as an issue that affects the ocean. Recent security breaches cost shipping companies hundreds of millions of dollars and put marine ecosystems at risk by disabling ship controls and increasing risks of collisions and hazmat spills. Additionally, most new ships are designed to transmit engine performance data ashore to allow timely maintenance and efficient operation. However, many ships still prohibit such data transmission due to security concerns, resulting in increased ship emissions and environmental risks from accidental release of oil, hydraulic fluids, or lubricants. Similarly, research vessel data are routinely sent ashore, but security concerns for their computers are also increasing, especially when they operate in global ports and oceans. Maritime cybersecurity is also critical as autonomous ships are being developed. Addressing maritime cybersecurity is therefore a valid area of scientific policy research and important for ocean science operations.

The International Maritime Organization (IMO) has called for improved maritime cybersecurity, and the U.S. Coast Guard also recently released a Navigation and Vessel Inspection Circular (NVIC; NVIC 05-17) on maritime cybersecurity for comments. The newly established Maritime Cyber Security Committee of the Marine Technology Society is coordinating maritime cybersecurity best practice information, contacts for cybersecurity professionals, and lessons learned on responding to cyberattacks to make this information broadly available. We review here various stakeholder approaches to maritime cybersecurity, outline available resources, and discuss how advanced methods, including optical communications and quantum encryption, will improve maritime cybersecurity. Scientists have a role in developing and implementing maritime cybersecurity methods and policies to ensure safe ship operations and improved environmental security for the oceans.",AreaCybersecurity CybersecurityInterventions that
"Abstract While Cambodia has achieved stellar growth and poverty reduction over the last two decades, the next wave of growth is anticipated to come from increasing value-added as well as nurturing new sectors such as the Digital Economy. Over the past two decades, facilitated by preferential trade treatment and strong foreign direct investment inflows, growth and job creation have been taking place in activities with relatively limited value added, such as garment manufacturing, rice cropping, and construction. In recent years, Cambodian authorities have issued several policy documents relevant to digital development. Overall, the objectives and high-level program goals are generally consistent with international good practice, and envisage partnerships between the Government and the private sector at multiple levels. The Rectangular Strategy Phase III 2013-2018 highlights the need to further develop e-Government and encourage the private sector to invest in technology. This was followed in 2014 by the approval of the Cambodia ICT Master Plan 2020 which aims to improve ICT industry and human resources development, internet connectivity, cybersecurity, and government e-services—and in 2016 by the Telecoms and ICT Policy which outlines policy measures and associated targets to expand ICT infrastructure and develop ICT human capacity. In addition, a draft Cambodia e-Government Master Plan 2017-2022 has been drafted, although not yet adopted. The draft outlines programs to provide quality information and digital services, in collaboration with prospective beneficiaries; connect with people on public policies and decisions, in particular through social media; and increase government efficiency by establishing basic foundations for digital government (e.g. cloud, enterprise architecture, intensive staff capacity building) and a government portal on which ministries can host their services. Numerous institutions across Government are tasked with the implementation of these policies and strategies. This policy note responds to a request from the Royal Government of Cambodia for the World Bank to assess the current state of its Digital Economy and identify policies to further develop it.The Policy Note applies the analytical framework presented in the World Bank’s World Development Report 2016: Digital Dividends, to identify challenges and suitable policy options, and it is intended to inform the preparation of the upcoming Rectangular Strategy Phase IV (2018—2023).",AreaCybersecurity CybersecurityInterventions that
"Abstract This guide was initially developed for regulators in Europe and Eurasia to reinforce their knowledge of practical cybersecurity solutions in the face of ongoing threats within the energy sector. However, the questions of how to evaluate risks, assess mitigation measures, and select standards are relevant for regulators around the world.

NARUC’s intention in preparing this guide is to provide a consolidated review of multiple cyber concepts that can serve as a nontechnical and user-friendly guide to energy regulatory staff. Regulators are charged with several core functions, such as ensuring security of supply, evaluating utility investment plans, and
setting tariffs. As cyber threats continue to evolve, energy regulators need to increase their technical capacities to be able to serve as leaders within their countries and promote coordination among governmental and non-governmental institutions. This guide provides a useful summary of international cyber standards (with more detailed information included in the annex) so that regulators can have a starting point to more easily evaluate options for their national and/or regional contexts.",AreaCybersecurity CybersecurityInterventions that
"Abstract The Global Cybersecurity Capacity Program, which was generously financed by the Korea World Bank Group Partnership (KWPF) between 2016 and 2019, is one of the first steps that the World Bank has taken in an attempt to bridge existing gaps in cybersecurity capacities, especially in the case of governments that have taken out loans from WB to cover the needs of their emerging digital economies. Thanks to tailored national and regional technical assistance schemes, this Program has helped to strengthen cybersecurity capacities and awareness in six countries, namely Albania, Bosnia and Herzegovina, Republic of North Macedonia in the Western Balkan
region, Ghana in West Africa, the Kyrgyz Republic in Central Asia, and Myanmar in Southeast Asia. The objective was to benefit a selected sample of countries across geographical regions that prioritize cybersecurity assistance and have at least some capacity to design and implement digital investment projects that include elements of cybersecurity. The countries had to be classified based on their income levels for WB to be able to assess the ultimate Program effectiveness, which is the main subject of this Executive Summary.",AreaCybersecurity CybersecurityInterventions that
"Abstract How does digitalisation lead to new kinds of global connections and disconnections in the Global South? And what are the pitfalls that accompany this development? Much of the policy literature on digitalisation and development has focused on the importance of connecting developing countries to digital networks. Good connection to digital networks may have a fundamental impact on societies, changing not only how individuals and businesses navigate, operate and seek opportunities, but also as regards relations between government and the citizenry. However, the rapid pace of this development implies that digital technologies are being put to use before good, functional regulatory mechanisms have been developed and installed. The resultant shortcomings – in state mechanisms, institutions, coordination mechanisms, private mechanisms, general awareness, public knowledge and skills – open the door to new kinds of vulnerabilities. Herein lie dangers, but also opportunities for donor/recipient country exchange. Instead of adding to the already substantial literature on the potential dividends, this article examines a less studied issue: the new societal vulnerabilities emerging from digitalisation in developing countries. While there is wide agreement about the need to bridge the gap between the connected and the disconnected, the pitfalls are many.",AreaCybersecurity CybersecurityInterventions that
"Abstract Governments are adopting various measures to address cybersecurity-related concerns. Some of these measures restrict cross-border flows of digital services/data, and thus inconsistent with obligations in trade agreements such as General Agreement on Trade in Services (‘GATS’). However, certain governments might argue that such measures are justified under the GATS security exception (Art. XIVbis) as they protect national security. This article investigates whether GATS Art. XIVbis is relevant in justifying cybersecurity measures and its potential impact on cybersecurity governance. It argues that GATS Art. XIVbis has limited relevance, and is potentially problematic, when used in justifying majority of cybersecurity measures. First, a large majority of cybersecurity measures do not fall within the limited set of exceptional circumstances listed in GATS Art. XIVbis. Further, in applying this exception to cybersecurity measures, WTO Panels will be unfairly forced to balance trade and security interests in an environment of political, technological and policy uncertainty. Given these practical limitations and the normative boundaries of GATS Art. XIVbis, countries must avoid casually relying upon security exceptions as a basis for adopting/implementing unilateral measures on cybersecurity, but rather engage in meaningful cyber-diplomacy and regulatory cooperation mechanisms to resolve their differences on cybersecurity governance.",AreaCybersecurity CybersecurityInterventions that
"Abstract The identification and assessment of risks are a fundamental part of cybersecurity. Determining the elements that participate in this field is difficult because there is no exclusive approach to cybersecurity. This document aims to provide a framework to identify and assess cybersecurity risks. For this, a systematic review of the studies related to cybersecurity risk taxonomies was carried out. The main elements of the proposed conceptual model and framework have been determined by applying the snowball technique. To validate the implementation of the proposed framework, a case study has been implemented at the Ecuadorian Social Security Institute. The first task was to consolidate the information in a baseline. Once the baseline was obtained, the defined framework has been applied. As a result, through the use of the proposed framework, the assessment process has improved the decision-making process regarding the importance and criticality of the risks and countermeasures that must be applied.",AreaCybersecurity CybersecurityInterventions that
"Abstract This Article provides a thorough analysis of important provisions of the China's Cybersecurity Law as well as their policy implications. It views the Cybersecurity Law as part of a broader set of policy steps that have been taken to streamline laws concerning the internet and national security. The law fulfills China’s persistent aim to assert its internet sovereignty by imposing heavy obligations on network operators and critical information infrastructure operators. 
This Article contends that the law should be understood from the perspective of China’s unique conception of cybersecurity and human rights",AreaCybersecurity CybersecurityInterventions that
"Abstract Energy regulators have a unique role to play in the field of cybersecurity. While the implementation of cybersecurity measures is typically the responsibility of power system operators, regulators have an obligation
to ensure that investments made in the name of cybersecurity are reasonable, prudent, and effective. These guidelines are intended to assist regulators in defining tariffs by establishing a regulatory approach to enhance the cybersecurity stance of their power systems, and are based on literature and current practices.",AreaCybersecurity CybersecurityInterventions that
