Title,Intervention Area
"""Aarogya Setu"": The mobile application that monitors and mitigates the risks of COVID-19 pandemic spread in India",Digital Information Services
"""I'm Not against Online Teaching, but What about Us?"": ICT in Ghana Post Covid-19",Policy & Regulation or Digital Services
"""What is the best method of family planning for me?"": a text mining analysis of messages between users and agents of a digital health service in Kenya",Digital Information Services
2018 Mobile Industry Impact Report: Sustainable Development Goals,Digital Infrastructure Development
"26 Recommendations on Content Governance: A Guide for Lawmakers, Regulators, and Company Policy Makers",Cybersecurity
"26 Recommendations on Content Governance: A Guide for Lawmakers, Regulators, and Company Policy Makers",Policy & Regulation or Digital Services
"3D City Modelling Toward Conservation and Management. The Digital Documentation of Museu Do Ipiranga - USP, San Paulo, Brazil",Digital Information Services
3D Digital Representation of Cadastral Data in Turkey - Apartments Case,Digital Information Services
3D Digital Representation of Cadastral Data in Turkey - Apartments Case,Digital Infrastructure Development
"A mixed-methods evaluation to determine the effects of a novel mHealth platform for maternal child health tracking in rural Udaipur, India",Data Systems & Development
"A mixed-methods evaluation to determine the effects of a novel mHealth platform for maternal child health tracking in rural Udaipur, India",Digital Literacy
"A mixed-methods evaluation to determine the effects of a novel mHealth platform for maternal child health tracking in rural Udaipur, India",Digital Literacy
"A Cluster Randomized Trial to Determine the Effectiveness of a Novel, Digital Pendant and Voice Reminder Platform on Increasing Infant Immunization Adherence in Rural Udaipur, India",Digital Information Services
"A Comparison of Selected Stimulus Packages in 2008 and 2020: investing in Renewable Energy, Sustainable Agriculture and Food Security, and Gender Equality and the Empowerment of Women for Structural Economic transformation",Policy & Regulation or Digital Services
"A Comparison of Selected Stimulus Packages in 2008 and 2020: investing in Renewable Energy, Sustainable Agriculture and Food Security, and Gender Equality and the Empowerment of Women for Structural Economic transformation",Policy & Regulation or Digital Services
"A Comparison of Selected Stimulus Packages in 2008 and 2020: investing in Renewable Energy, Sustainable Agriculture and Food Security, and Gender Equality and the Empowerment of Women for Structural Economic transformation",Policy & Regulation or Digital Services
A COVID Vaccine Certificate: Building on Lessons from Digital ID for the Digital Yellow Card,E-government
A cross sectional overview of digital eye strain: a growing health concern in this digital age in central India (Madhya Pradesh),Policy & Regulation or Digital Services
"A Decision Tree for Digital Financial Inclusion Policymaking, 2020",Digital Inclusion
A Digital Credit Revolution: Insights from Borrowers in Kenya and Tanzania,Digital Finance
A digital media literacy intervention increases discernment between mainstream and false news in the United States and India 2020,Digital Literacy
"A Framework to Understand Women’s Mobile-Related Safety Concerns in Low-and Middle-Income Countries, 2018",Digital Inclusion
A great leap of faith: The cashless agenda in Digital India,Digital Finance
A great leap of faith: The cashless agenda in Digital India,Child Protection
A Guide to Supervising E-Money Issuers,Data Systems & Development
A Guide to Supervising E-Money Issuers,Digital Finance
"A Lifeline to Learning: Leveraging Technology to Support Education for Refugees, 2018",Digital Inclusion
"A mixed-methods evaluation to determine the effects of a novel mHealth platform for maternal child health tracking in rural Udaipur, India",Digital Literacy
"A mixed-methods evaluation to determine the effects of a novel mHealth  platform for maternal child health tracking in rural Udaipur, India, 2020",Data Systems & Development
"A mixed-methods evaluation to determine the effects of a novel mHealth  platform for maternal child health tracking in rural Udaipur, India, 2020",Data Systems & Development
A mobile phone-based multimedia intervention to support maternal health is acceptable and feasible among illiterate pregnant women in Uganda: Qualitative findings from a pilot randomized controlled trial,Upskilling/ Capacity Building
A mobile phone-based multimedia intervention to support maternal health is acceptable and feasible among illiterate pregnant women in Uganda: Qualitative findings from a pilot randomized controlled trial,Digital Information Services
A New Wave of Censorship: Distributed Attacks on Expression and Press Freedom,Cybersecurity
"A Pilot Study of a Novel, Incentivised mHealth Technology to Monitor the Vaccine Supply Chain in Rural Zambia, 2019",Data Systems & Development
A Research Agenda for Cyber Risk and Cyber Insurance,Cybersecurity
A Review of the Current Cyber Hygiene in Small and Medium-sized Businesses,Data Privacy
A Review of the Current Cyber Hygiene in Small and Medium-sized Businesses,Cybersecurity
A skills perspective on the adoption and use of mobile money services in Uganda,Digital Literacy
A skills perspective on the adoption and use of mobile money services in Uganda,Digital Finance
"A Strategic Approach to Onsite Learning in the Era of SARS-Cov-2, 2021",Upskilling/ Capacity Building
A Study on Digital Democracy Practice: Opportunities and Challenges of e-Health Implementation in Indonesia,E-government
"A Study on Digital Democracy Practice: Opportunities and Challenges of e-Health Implementation in Indonesia, 2018",Data Systems & Development
"A Study on Digital Democracy Practice: Opportunities and Challenges of e-Health Implementation in Indonesia, 2018",Digital Infrastructure Development
A Study on the Potential of the Development of Software Applications and Digital Content Industrial Ecosystem in Indonesia,Digital Infrastructure Development
A Survey of Cyber-Security Practices in Nigeria,Upskilling/ Capacity Building
A Survey of Cyber-Security Practices in Nigeria,Digital Literacy
A Survey of Cyber-Security Practices in Nigeria,Cybersecurity
Aadhaar-Led Identification and Datafication Among Informal Workers in South India: A Data-Justice Perspective,E-government
Aadhaar-Led Identification and Datafication Among Informal Workers in South India: A Data-Justice Perspective,Data Systems & Development
Accelerating Digitalization : Critical Actions to Strengthen the Resilience of the Maritime Supply Chain,Cybersecurity
Accelerating Digitalization : Critical Actions to Strengthen the Resilience of the Maritime Supply Chain,Digital Infrastructure Development
Accelerating Practical Digital Development in the Solomon Islands (English),Policy & Regulation or Digital Services
Accelerating Practical Digital Development in the Solomon Islands (English),Digital Infrastructure Development
Accelerating Practical Digital Development in the Solomon Islands (English),Policy & Regulation or Digital Services
Accelerating Practical Digital Development in the Solomon Islands (English),Digital Infrastructure Development
Accelerating technical change through video-mediated agricultural extension: Evidence from Ethiopia,Upskilling/ Capacity Building
Accelerating technical change through video-mediated agricultural extension: Evidence from Ethiopia,Digital Information Services
Access to mobile phone and willingness to receive mHealth services among patients with diabetes in Northwest Ethiopia: a cross-sectional study,Upskilling/ Capacity Building
Access to mobile phone and willingness to receive mHealth services among patients with diabetes in Northwest Ethiopia: a cross-sectional study,Digital Inclusion
"Achieving Universal Access to ID : Gender-based Legal Barriers Against Women and Good Practice Reforms (English),2019",Data Systems & Development
Adapting Jobs Policies and Programs in the Face of Accelerated Technological Change (English). Jobs Notes;Issue No. 8,Policy & Regulation or Digital Services
Adapting Jobs Policies and Programs in the Face of Accelerated Technological Change (English). Jobs Notes;Issue No. 8,Policy & Regulation or Digital Services
Adopting Mobile Money: Evidence from an Experiment in Rural Africa,Digital Inclusion
Adopting Mobile Money: Evidence from an Experiment in Rural Africa,Digital Finance
Adoption and intensity of use of mobile money among smallholder farmers in rural Ghana,Digital Infrastructure Development
Adoption of digital payment systems in the era of demonetization in India: An empirical study,Policy & Regulation or Digital Services
Adoption of ICT-Based Information Sources and Market Participation among Smallholder Livestock Farmers in South Africa,Digital Information Services
"Adoption of mobile applications for teaching-learning process in rural girls’ schools in India: an empirical study, 2020",Upskilling/ Capacity Building
"Adoption of mobile applications for teaching-learning process in rural girls’ schools in India: an empirical study, 2020",Upskilling/ Capacity Building
Advancing Digital Financial Inclusion in ASEAN : Policy and Regulatory Enablers,Digital Finance
"Advancing Youth-Centred Digital Ecosystems in Africa in a Post-Covid-19 World, 2021",Upskilling/ Capacity Building
"Advancing Youth-Centred Digital Ecosystems in Africa in a Post-Covid-19 World, 2021",Upskilling/ Capacity Building
"Africa in the Information Age: Challenges, Opportunities, and Strategies for Data Protection and Digital Rights",Policy & Regulation or Digital Services
"Agent Networks at the Last Mile, 2019",Digital Inclusion
Agricultural information and extension services,Digital Inclusion
Agricultural information and extension services,Policy & Regulation or Digital Services
Agricultural information and extension services,Digital Inclusion
Agricultural information and extension services,Digital Inclusion
Agricultural information and extension services,Policy & Regulation or Digital Services
Agricultural information and extension services,Policy & Regulation or Digital Services
"Aid-Financed Mechanisms for Technology Development, 2020",Upskilling/ Capacity Building
Albania E-Commerce Diagnostic : Leveraging the Digital Trade Opportunity (English),Digital Finance
An Investigation into the Challenges Preventing Students of Educational Administration and Planning from Using ICT for Learning in Nigeria Higher Institutions,Data Systems & Development
An Analysis of Mobile Financial Services and Financial Inclusion in Bangladesh,Digital Inclusion
