,Title,classes
0,aarogya setu mobile application monitor mitigate risk covid pandemic spread,6
1,online teach ict post covid,9
2,best method family plan text mining analysis message user agent health service,6
3,mobile industry impact sustainable goal,7
4,recommendation governance guide lawmaker regulator company policy maker,1
6,city model conservation management documentation museu ipiranga usp paulo,6
7,representation cadastral data apartment,6
9,mixedmethods evaluation determine novel mhealth platform maternal child health track rural udaipur,3
12,cluster randomize trial determine effectiveness novel pendant voice reminder platform increase infant immunization adherence rural udaipur,6
13,comparison select stimulus package invest renewable energy sustainable agriculture food security gender equality empowerment woman structural economic transformation,9
16,covid vaccine certificate building lesson yellow card,10
17,cross sectional overview eye strain grow health concern age madhya pradesh,9
18,decision tree financial inclusion policymaking,5
19,credit revolution insight borrower,4
20,medium literacy intervention increase discernment mainstream false news,8
21,framework understand woman mobilerelated safety concern lowand middleincome,5
22,great leap faith cashless agenda,4
24,guide supervise emoney issuer,3
26,lifeline learn leverage technology support education refugee,5
30,mobile phonebased multimedia intervention support maternal health acceptable feasible illiterate pregnant woman qualitative finding pilot randomize control trial,11
32,wave censorship distribute attack expression press freedom,1
33,pilot study novel incentivised mhealth technology monitor vaccine supply chain rural,3
34,agenda cyber risk cyber insurance,1
35,review current cyber hygiene small mediumsized business,2
37,skill perspective adoption mobile money service,8
39,strategic onsite learn era sarscov,11
40,study democracy practice opportunity challenge ehealth implementation,10
43,study potential software application industrial ecosystem,7
44,survey cybersecurity practice,11
47,aadhaarled identification datafication informal worker datajustice perspective,10
49,accelerate digitalization critical action strengthen resilience maritime supply chain,1
51,accelerate practical island english,9
55,accelerate technical change videomediated agricultural extension evidence,11
57,access mobile phone willingness receive mhealth service patient diabetes northwest crosssectional study,11
59,achieve universal access genderbased legal barrier woman practice reform english,3
60,adapt job policy program face accelerated technological change english job notesissue,9
62,adopt mobile money evidence experiment rural africa,5
64,adoption intensity mobile money smallholder farmer rural,7
65,adoption payment system era demonetization empirical study,9
66,adoption ictbased source participation smallholder livestock farmer africa,6
67,adoption mobile application teachinglearning rural girl school empirical study,11
69,advance financial inclusion asean policy regulatory enablers,4
70,advance youthcentred ecosystem africa postcovid,11
72,africa age challenge opportunity strategy data protection,9
73,agent network mile,5
74,agricultural extension service,5
80,aidfinanced mechanism technology,11
81,ecommerce diagnostic leverage trade opportunity english,4
82,investigation challenge prevent student educational administration plan ict learn high institution,3
83,analysis mobile financial service financial inclusion,5
85,apply data justice framework analyse datafication marginalise city global,5
86,evaluation impact ict socioeconomic growth,9
88,ict integration high education institute critical literature review,7
90,innovative manage cancer patient care coordination monitor health platform nonprofit tertiary cancer care institute,6
93,analysis electronic payment system study mobile payment system,4
95,analysis integration ict second language learn preschool,6
96,apart connect online tutor student outcome covid pandemic,11
97,application technology health insurance social bottom pyramid customer,9
99,apply storytelling improve indonesian high school student visual memory writing skill,8
101,increase financial literacy population economic digitalization,4
103,mobile saving silver bullet help woman grow business,4
107,artificial intelligence healthcare emerge,10
108,artificial intelligence public sector maximize opportunity manage risk,10
109,artificial intelligence versus covid develop,3
110,assess effectiveness webbased vaccine management system immunizationrelated data function,3
111,assessment implementation challenge,10
112,assessment select electronic health system support immunization data capture,3
113,association child mobile parent style hungarian family,0
114,automate phone call text reminder childhood immunisation primm randomise controlled trial,3
115,automation ai implication african prospect,9
116,automation latin america woman high risk lose job,9
120,avarciber framework assess cybersecurity risk,1
121,awareness demand satisfaction west africa health informatics team wahit,3
122,ayitic global,3
124,balance counter disinformation respect freedom expression,10
125,barrier incentive cybersecurity threat share develop study saudi arabia,1
126,barrier service adoption,7
128,basic regulatory enablers financial service,4
129,benefit economy policy note english,10
132,best practice management online sex offend,0
134,big data urban transportation bengaluru bus corporation study,3
136,big data big brother data protection law implication independent medium,2
138,blend learn peer mentor whatsapp build capacity health worker strengthen immunization service,11
139,blockchain emerge technology enhance post climate,4
140,blockchain land administration,3
141,blockchain emerge opportunity mobile identity aid,10
143,bottomup accountability public service provision evidence field experiment,10
144,bottomup connectivity strategy communityled smallscale telecommunication infrastructure network global,7
146,bridge indonesias divide ruralurban linkage,7
148,technology political engagement,10
149,technology improve public service delivery,9
152,build cyber security awareness develop lesson,8
155,building competency benefit frontier technology,11
156,building faster guide inclusive instant payment system,5
