,Title,Intervention Area
0,aarogya setu mobile application monitor mitigate risk covid pandemic spread,Digital Information Services
1,online teach ict post covid,Policy & Regulation or Digital Services
2,best method family plan text mining analysis message user agent health service,Digital Information Services
3,mobile industry impact sustainable goal,Digital Infrastructure Development
4,recommendation governance guide lawmaker regulator company policy maker,Cybersecurity
5,recommendation governance guide lawmaker regulator company policy maker,Policy & Regulation or Digital Services
6,city model conservation management documentation museu ipiranga usp paulo,Digital Information Services
7,representation cadastral data apartment,Digital Information Services
8,representation cadastral data apartment,Digital Infrastructure Development
9,mixedmethods evaluation determine novel mhealth platform maternal child health track rural udaipur,Data Systems & Development
10,mixedmethods evaluation determine novel mhealth platform maternal child health track rural udaipur,Digital Literacy
11,mixedmethods evaluation determine novel mhealth platform maternal child health track rural udaipur,Digital Literacy
12,cluster randomize trial determine effectiveness novel pendant voice reminder platform increase infant immunization adherence rural udaipur,Digital Information Services
13,comparison select stimulus package invest renewable energy sustainable agriculture food security gender equality empowerment woman structural economic transformation,Policy & Regulation or Digital Services
14,comparison select stimulus package invest renewable energy sustainable agriculture food security gender equality empowerment woman structural economic transformation,Policy & Regulation or Digital Services
15,comparison select stimulus package invest renewable energy sustainable agriculture food security gender equality empowerment woman structural economic transformation,Policy & Regulation or Digital Services
16,covid vaccine certificate building lesson yellow card,E-government
17,cross sectional overview eye strain grow health concern age madhya pradesh,Policy & Regulation or Digital Services
18,decision tree financial inclusion policymaking,Digital Inclusion
19,credit revolution insight borrower,Digital Finance
20,medium literacy intervention increase discernment mainstream false news,Digital Literacy
21,framework understand woman mobilerelated safety concern lowand middleincome,Digital Inclusion
22,great leap faith cashless agenda,Digital Finance
23,great leap faith cashless agenda,Child Protection
24,guide supervise emoney issuer,Data Systems & Development
25,guide supervise emoney issuer,Digital Finance
26,lifeline learn leverage technology support education refugee,Digital Inclusion
27,mixedmethods evaluation determine novel mhealth platform maternal child health track rural udaipur,Digital Literacy
28,mixedmethods evaluation determine novel mhealth platform maternal child health track rural udaipur,Data Systems & Development
29,mixedmethods evaluation determine novel mhealth platform maternal child health track rural udaipur,Data Systems & Development
30,mobile phonebased multimedia intervention support maternal health acceptable feasible illiterate pregnant woman qualitative finding pilot randomize control trial,Upskilling/ Capacity Building
31,mobile phonebased multimedia intervention support maternal health acceptable feasible illiterate pregnant woman qualitative finding pilot randomize control trial,Digital Information Services
32,wave censorship distribute attack expression press freedom,Cybersecurity
33,pilot study novel incentivised mhealth technology monitor vaccine supply chain rural,Data Systems & Development
34,agenda cyber risk cyber insurance,Cybersecurity
35,review current cyber hygiene small mediumsized business,Data Privacy
36,review current cyber hygiene small mediumsized business,Cybersecurity
37,skill perspective adoption mobile money service,Digital Literacy
38,skill perspective adoption mobile money service,Digital Finance
39,strategic onsite learn era sarscov,Upskilling/ Capacity Building
40,study democracy practice opportunity challenge ehealth implementation,E-government
41,study democracy practice opportunity challenge ehealth implementation,Data Systems & Development
42,study democracy practice opportunity challenge ehealth implementation,Digital Infrastructure Development
43,study potential software application industrial ecosystem,Digital Infrastructure Development
44,survey cybersecurity practice,Upskilling/ Capacity Building
45,survey cybersecurity practice,Digital Literacy
46,survey cybersecurity practice,Cybersecurity
47,aadhaarled identification datafication informal worker datajustice perspective,E-government
48,aadhaarled identification datafication informal worker datajustice perspective,Data Systems & Development
49,accelerate digitalization critical action strengthen resilience maritime supply chain,Cybersecurity
50,accelerate digitalization critical action strengthen resilience maritime supply chain,Digital Infrastructure Development
51,accelerate practical island english,Policy & Regulation or Digital Services
52,accelerate practical island english,Digital Infrastructure Development
53,accelerate practical island english,Policy & Regulation or Digital Services
54,accelerate practical island english,Digital Infrastructure Development
55,accelerate technical change videomediated agricultural extension evidence,Upskilling/ Capacity Building
56,accelerate technical change videomediated agricultural extension evidence,Digital Information Services
57,access mobile phone willingness receive mhealth service patient diabetes northwest crosssectional study,Upskilling/ Capacity Building
